Site,Year,Month,Energy_kWh,Water_m3,Waste_tonnes,CO2_tonnes,Environmental_incidents,Recycled_percent,Compliance_score,Energy_kWh_recorded,Water_m3_recorded,Waste_tonnes_recorded,Recycled_percent_recorded,CO2_tonnes_recorded,Compliance_score_recorded,Environmental_incidents_recorded
A,2024,1,1449.5,279.0,34.4,169.1,0,0.0,0.0,True,True,True,False,True,False,True
A,2024,2,4937.4,1507.6,177.2,599.7,3,0.0,0.0,True,True,True,False,True,False,True
A,2024,3,758.2,250.9,29.2,168.3,1,0.0,0.0,True,True,True,False,True,False,True
A,2024,6,1020.2,115.7,16.9,74.6,2,0.0,0.0,True,True,True,False,True,False,True
A,2024,7,992.6,184.6,23.5,87.3,0,0.0,0.0,True,True,True,False,True,False,True
A,2024,8,528.8,210.8,25.9,172.5,1,0.0,0.0,True,True,True,False,True,False,True
A,2024,9,992.1,207.7,16.2,184.1,1,0.0,0.0,True,True,True,False,True,False,True
A,2024,11,1120.3,399.3,44.6,106.5,1,0.0,0.0,True,True,True,False,True,False,True
B,2024,1,1387.2,769.2,71.1,278.5,2,0.0,0.0,True,True,True,False,True,False,True
B,2024,3,651.9,299.4,37.3,173.2,0,0.0,0.0,True,True,True,False,True,False,True
B,2024,5,3091.7,1092.3,111.0,318.29999999999995,5,0.0,0.0,True,True,True,False,True,False,True
B,2024,7,713.0,183.7,20.3,95.2,1,0.0,0.0,True,True,True,False,True,False,True
B,2024,9,1747.3,264.6,46.9,295.79999999999995,1,0.0,0.0,True,True,True,False,True,False,True
B,2024,10,974.0,151.0,47.2,72.5,0,0.0,0.0,True,True,True,False,True,False,True
C,2024,3,1051.9,351.2,13.2,149.8,1,0.0,0.0,True,True,True,False,True,False,True
C,2024,4,1454.1,167.6,24.2,190.8,0,0.0,0.0,True,True,True,False,True,False,True
C,2024,5,1480.0,228.8,12.1,96.8,0,0.0,0.0,True,True,True,False,True,False,True
C,2024,6,1725.3,535.7,45.7,305.79999999999995,3,0.0,0.0,True,True,True,False,True,False,True
C,2024,11,3632.5,638.9000000000001,110.0,363.4,4,0.0,0.0,True,True,True,False,True,False,True
C,2024,12,747.3,168.9,24.5,194.8,2,0.0,0.0,True,True,True,False,True,False,True
D,2024,1,858.2,284.3,16.1,176.3,3,0.0,0.0,True,True,True,False,True,False,True
D,2024,4,1171.6,245.7,16.4,169.3,1,0.0,0.0,True,True,True,False,True,False,True
D,2024,5,4088.7,1317.5,147.2,725.7,2,0.0,0.0,True,True,True,False,True,False,True
D,2024,7,1140.9,314.8,33.8,177.0,1,0.0,0.0,True,True,True,False,True,False,True
D,2024,8,636.4,248.2,16.8,162.1,0,0.0,0.0,True,True,True,False,True,False,True
D,2024,9,2660.4,907.5,53.4,294.8,1,0.0,0.0,True,True,True,False,True,False,True
D,2024,10,634.0,124.4,14.5,108.9,1,0.0,0.0,True,True,True,False,True,False,True
D,2024,11,1362.4,142.9,14.6,70.9,0,0.0,0.0,True,True,True,False,True,False,True
D,2024,12,3503.3,816.3,51.4,309.8,1,0.0,0.0,True,True,True,False,True,False,True
E,2024,1,4672.7,1183.9,141.0,675.8,5,0.0,0.0,True,True,True,False,True,False,True
E,2024,2,892.2,285.0,32.9,107.6,0,0.0,0.0,True,True,True,False,True,False,True
E,2024,3,1272.3,376.2,21.4,74.5,3,0.0,0.0,True,True,True,False,True,False,True
E,2024,5,2265.0,306.5,73.7,247.9,0,0.0,0.0,True,True,True,False,True,False,True
E,2024,6,2207.2,933.8,101.60000000000001,246.1,5,0.0,0.0,True,True,True,False,True,False,True
E,2024,10,1014.0,385.3,22.9,67.5,2,0.0,0.0,True,True,True,False,True,False,True
