Site,Year,Month,Energy_kWh,Water_m3,Waste_tonnes,CO2_tonnes,Environmental_incidents,Recycled_percent,Compliance_score,Energy_kWh_recorded,Water_m3_recorded,Waste_tonnes_recorded,Recycled_percent_recorded,CO2_tonnes_recorded,Compliance_score_recorded,Environmental_incidents_recorded
A,2025,1,6117.0,0.0,6.964344852220993,7.377936359642063,2,57.24750574509397,101.05907236926994,True,False,True,True,True,True,True
A,2025,3,2547.0,757.0,29.90845242024217,9.539019136922038,0,42.13676671508349,98.11792765718435,True,True,True,True,True,True,True
A,2025,6,5941.0,676.0,36.97729487482763,5.890189496662355,0,44.83876498427865,72.87871743390501,True,True,True,True,True,True,True
A,2025,7,3988.0,703.0,35.22438648839809,8.467685366081867,0,46.66082653338074,84.51194972219675,True,True,True,True,True,True,True
A,2025,8,5730.0,1019.0,32.732726447589734,15.93609417825236,3,45.940361207533776,79.12859902576615,True,True,True,True,True,True,True
A,2025,10,8739.0,1735.0,48.06249524543353,19.24041801435238,3,31.83422851324126,75.21737500927935,True,True,True,True,True,True,True
A,2025,12,4045.0,795.0,21.248476727452207,16.467573760806715,0,73.02070666326537,87.34809290081267,True,True,True,True,True,True,True
B,2025,1,7153.0,1187.0,41.83879020158842,14.531409749530845,2,79.83192438068382,76.96762514334252,True,True,True,True,True,True,True
B,2025,2,6970.0,550.0,21.481350777095955,13.868228690915553,1,62.01575616247175,90.0265225560743,True,True,True,True,True,True,True
B,2025,4,11491.0,2322.0,91.08635542708402,44.44643996895623,1,31.465130607516027,24.62348150627116,True,True,True,True,True,True,True
B,2025,6,6441.0,950.0,25.820308163739337,999.0,2,75.84404242219887,90.92825364298857,True,True,True,True,True,True,True
B,2025,8,5399.0,796.0,19.25180988746054,16.284166096470035,2,0.0,79.64681258092747,True,True,True,False,True,True,True
B,2025,9,3343.0,1426.0,52.00254115967701,25.383877416461115,1,44.67473831479217,74.1927434555686,True,True,True,True,True,True,True
B,2025,10,5433.0,306.0,42.37229404377207,13.0705440566525,0,71.45194381662105,0.0,True,True,True,True,True,False,True
B,2025,11,4928.0,711.0,29.962432042611525,8.549539513737807,2,87.01961872011111,68.34335213516344,True,True,True,True,True,True,True
B,2025,12,6071.0,985.0,25.22482134749798,1.456382,0,47.52390065940332,79.26390256496032,True,True,True,True,True,True,True
C,2025,1,3111.0,1232.0,34.316873612669326,19.481695591262067,1,35.38128550495937,105.41975202512997,True,True,True,True,True,True,True
C,2025,2,5813.0,589.0,23.57457867989882,18.280442488155416,1,57.11361052106983,84.27602320930492,True,True,True,True,True,True,True
C,2025,3,4446.0,717.0,74.93969738135752,32.24832640096045,2,47.597620653801236,23.60915393181722,True,True,True,True,True,True,True
C,2025,7,11001.0,2211.0,96.02126883569296,31.559264588557426,10,41.31538545564576,77.66538157926652,True,True,True,True,True,True,True
C,2025,8,4794.0,628.0,33.02215673578473,15.704930171540134,0,39.594073615966046,107.39257791210892,True,True,True,True,True,True,True
C,2025,9,3911.0,748.0,30.502596797865458,14.431354161339218,2,68.24256490764085,0.0,True,True,True,True,True,False,True
C,2025,11,6455.0,300.0,48.186761264139854,3.132955782068363,0,43.51735951288992,86.85094111613274,True,True,True,True,True,True,True
C,2025,12,8187.0,0.0,31.44498378992176,12.817131768005314,2,44.07731125955,87.25211712690948,True,False,True,True,True,True,True
D,2025,1,3346.0,779.0,23.299348865895087,10.702418209730402,0,53.33194000284596,85.33173294839824,True,True,True,True,True,True,True
D,2025,2,5697.0,816.0,33.17419425016903,2.9833652819295384,0,48.05611866904528,92.4531279300761,True,True,True,True,True,True,True
D,2025,3,10910.0,1906.0,46.603685899694895,18.721697091440255,1,44.01348902823927,81.09105533054904,True,True,True,True,True,True,True
D,2025,4,3766.0,972.0,28.054924316743875,11.693871754593816,0,46.10675901309468,81.23236090971668,True,True,True,True,True,True,True
D,2025,5,12862.0,3296.0,125.1557174992787,42.91647279831611,1,60.0052285368892,90.81810439796635,True,True,True,True,True,True,True
D,2025,6,5289.0,869.0,21.100021165364417,5.134302216224113,2,47.335832990695565,87.861056047234,True,True,True,True,True,True,True
D,2025,7,4262.0,871.0,40.40276118397232,12.72197002199819,0,31.76756980263862,91.9711522189782,True,True,True,True,True,True,True
D,2025,8,10782.0,1438.0,76.48881041340809,26.50837447969026,2,52.90771904532914,85.76059271135216,True,True,True,True,True,True,True
D,2025,9,10551.0,1973.0,80.29603787348462,26.20886703397742,2,24.69108830682148,82.00463369817751,True,True,True,True,True,True,True
D,2025,11,12307.0,2493.3,73.34523011820065,20.318237657249703,6,61.65809944200321,82.87047727569188,True,True,True,True,True,True,True
E,2025,1,5316.0,0.0,50.0,13.924870913712509,2,27.9716804649016,84.33465796480243,True,False,True,True,True,True,True
E,2025,2,10342.0,1655.0,53.43112342568135,32.850504131997695,1,26.952482621882673,75.20121517737348,True,True,True,True,True,True,True
E,2025,4,5000.0,520.0,33.170991520515535,12.336654084031684,2,30.67458068584775,79.31736938050487,True,True,True,True,True,True,True
E,2025,5,4788.0,731.0,24.995069638136545,15.890531467595164,3,37.784200407625,76.82087744194365,True,True,True,True,True,True,True
E,2025,6,11094.0,610.0,62.23882276898536,25.172059575057098,4,54.48955470759775,104.1704476812672,True,True,True,True,True,True,True
E,2025,10,11096.0,1945.0,73.36182087037365,27.68437606498516,2,66.6328277725774,89.85696540476928,True,True,True,True,True,True,True
E,2025,12,12633.0,1972.0,48.60930133543681,32.72064131215644,2,59.86871937733639,74.20790592889392,True,True,True,True,True,True,True
